"ExptID","TimePoint","ExpTime","TreatCode","ChamberID","UrchinID","Rate","MSRate","MSProp","plotGrp"
"FL06","T15",61.5,"Cyc3","S4","CU31",0.288534684896116,0.244520919403488,0.517335296803067,"Cyc3-P3"
"FL06","T15",61.5,"Cyc3","S5","CU32",0.337988614869839,0.359562356244509,0.376496145044319,"Cyc3-P3"
"FL06","T15",61.5,"Cyc3","S6","CU33",0.357859739859609,0.325327036236008,0.725042108324527,"Cyc3-P3"
"FL06","T2",4.5,"Cyc3","S1","CU28",0.650071796537719,0.596396143612586,1.17429981131745,"Cyc3-P1"
"FL06","T2",4.5,"Cyc3","S2","CU29",0.593208783691221,0.524963525390461,1.12134157278558,"Cyc3-P1"
"FL06","T2",4.5,"Cyc3","S3","CU30",0.567662734058573,0.637823296695026,0.973780519310635,"Cyc3-P1"
"FL06","T2",4.5,"Cyc3","S4","CU31",0.547455033654415,0.463944943774928,0.981572847728549,"Cyc3-P1"
"FL06","T2",4.5,"Cyc3","S5","CU32",0.738823080760469,0.785982000809009,0.822998259521866,"Cyc3-P1"
"FL06","T2",4.5,"Cyc3","S6","CU33",0.627927739542097,0.570843399583724,1.27221366765556,"Cyc3-P1"
"FL06","T3",7.5,"Cyc3","S1","CU28",0.496668018649914,0.455658732706343,0.89718883928564,"Cyc3-P1"
"FL06","T3",7.5,"Cyc3","S2","CU29",0.485624189678316,0.429755920069307,0.917974594455864,"Cyc3-P1"
"FL06","T3",7.5,"Cyc3","S3","CU30",0.429601117947667,0.482697885334457,0.7369467372652,"Cyc3-P1"
"FL06","T3",7.5,"Cyc3","S4","CU31",0.458049078316977,0.388177185014387,0.82127026068565,"Cyc3-P1"
"FL06","T3",7.5,"Cyc3","S5","CU32",0.524261211286335,0.557724692857803,0.583991046922048,"Cyc3-P1"
"FL06","T3",7.5,"Cyc3","S6","CU33",0.463653866437542,0.421503514943221,0.939386411521388,"Cyc3-P1"
"FL06","T4",10.5,"Cyc3","S1","CU28",0.572686626649401,0.525400574907707,1.03451003596862,"Cyc3-P1"
"FL06","T4",10.5,"Cyc3","S2","CU29",0.650695241343444,0.575836496764109,1.2300081276476,"Cyc3-P1"
"FL06","T4",10.5,"Cyc3","S3","CU30",0.587096566722666,0.659659063733332,1.00711772206928,"Cyc3-P1"
"FL06","T4",10.5,"Cyc3","S4","CU31",0.533006287610458,0.451700243737676,0.955666616296534,"Cyc3-P1"
"FL06","T4",10.5,"Cyc3","S5","CU32",0.808856747601225,0.860485901703431,0.901010962994193,"Cyc3-P1"
"FL06","T4",10.5,"Cyc3","S6","CU33",0.605248930420377,0.550226300382161,1.22626524220163,"Cyc3-P1"
"FL06","T5",13.5,"Cyc3","S1","CU28",0.452783306982909,0.415397529342118,0.817914813086144,"Cyc3-P1"
"FL06","T5",13.5,"Cyc3","S2","CU29",0.419678155275957,0.371396597589343,0.79331691579579,"Cyc3-P1"
"FL06","T5",13.5,"Cyc3","S3","CU30",0.457572793121511,0.514126733844394,0.784929933523356,"Cyc3-P1"
"FL06","T5",13.5,"Cyc3","S4","CU31",0.381528064747242,0.323328868429867,0.684070044077296,"Cyc3-P1"
"FL06","T5",13.5,"Cyc3","S5","CU32",0.549063384242117,0.584109983236295,0.611618967200282,"Cyc3-P1"
"FL06","T5",13.5,"Cyc3","S6","CU33",0.482407645920316,0.438552405382106,0.977382526481337,"Cyc3-P1"
"FL06","T6",25.5,"Cyc3","S1","CU28",0.493439736123269,0.452697005617678,0.891357219482858,"Cyc3-P2"
"FL06","T6",25.5,"Cyc3","S2","CU29",0.446920623838284,0.39550497684804,0.844813308607369,"Cyc3-P2"
"FL06","T6",25.5,"Cyc3","S3","CU30",0.461175869785207,0.51817513459012,0.791110726543897,"Cyc3-P2"
"FL06","T6",25.5,"Cyc3","S4","CU31",0.400003794019474,0.338986266118198,0.71719655325294,"Cyc3-P2"
"FL06","T6",25.5,"Cyc3","S5","CU32",0.531466335018774,0.565389718105079,0.59201706078904,"Cyc3-P2"
"FL06","T6",25.5,"Cyc3","S6","CU33",0.561501754147472,0.510456140134065,1.13763122896897,"Cyc3-P2"
"FL06","T7",28.5,"Cyc3","S1","CU28",0.610248492913581,0.55986100267301,1.10236237582043,"Cyc3-P2"
"FL06","T7",28.5,"Cyc3","S2","CU29",0.673171261839426,0.595726780388873,1.27249451164228,"Cyc3-P2"
"FL06","T7",28.5,"Cyc3","S3","CU30",0.576706428375233,0.647984750983408,0.989294261573052,"Cyc3-P2"
"FL06","T7",28.5,"Cyc3","S4","CU31",0.557698084205281,0.472625495089221,0.999938374905322,"Cyc3-P2"
"FL06","T7",28.5,"Cyc3","S5","CU32",0.685196099644046,0.728932020897921,0.763261479132169,"Cyc3-P2"
"FL06","T7",28.5,"Cyc3","S6","CU33",0.673227133842222,0.612024667129293,1.36399255388085,"Cyc3-P2"
"FL06","T8",31.5,"Cyc3","S1","CU28",0.493323681012338,0.452590533038843,0.891147575724132,"Cyc3-P2"
"FL06","T8",31.5,"Cyc3","S2","CU29",0.477417553100435,0.422493409823395,0.90246160304286,"Cyc3-P2"
"FL06","T8",31.5,"Cyc3","S3","CU30",0.453348067359968,0.509379850966256,0.777682750646638,"Cyc3-P2"
"FL06","T8",31.5,"Cyc3","S4","CU31",0.446392264354605,0.378298529114072,0.800369891937355,"Cyc3-P2"
"FL06","T8",31.5,"Cyc3","S5","CU32",0.494778717344476,0.526360337600505,0.551149569940117,"Cyc3-P2"
"FL06","T8",31.5,"Cyc3","S6","CU33",0.535121673586174,0.486474248714703,1.08418383855999,"Cyc3-P2"
"FL06","T9",34.5,"Cyc3","S1","CU28",0.618282750772087,0.567231881442282,1.11687558426536,"Cyc3-P2"
"FL06","T9",34.5,"Cyc3","S2","CU29",0.645498565784431,0.57123766883578,1.22018486052006,"Cyc3-P2"
"FL06","T9",34.5,"Cyc3","S3","CU30",0.649495187649354,0.72976987376332,1.1141576206651,"Cyc3-P2"
"FL06","T9",34.5,"Cyc3","S4","CU31",0.523781975348798,0.443883029956608,0.939127660768852,"Cyc3-P2"
"FL06","T9",34.5,"Cyc3","S5","CU32",0.690992817106554,0.735098741602717,0.76971862497238,"Cyc3-P2"
"FL06","T9",34.5,"Cyc3","S6","CU33",0.61474595657106,0.558859960519146,1.24550670218203,"Cyc3-P2"
"FL07","T0",-1,"Constant","S1","CU34",0.617702539792734,0.406383249863641,1,"Constant-P1"
"FL07","T0",-1,"Constant","S2","CU35",0.644543415310771,0.555640875267906,1,"Constant-P1"
"FL07","T0",-1,"Constant","S3","CU36",0.76356745183485,0.557348504988941,1,"Constant-P1"
"FL07","T0",-1,"Constant","S4","CU37",0.619146754887213,0.469050571884252,1,"Constant-P1"
"FL07","T0",-1,"Constant","S5","CU38",0.647807678772097,0.744606527324249,1,"Constant-P1"
"FL07","T0",-1,"Constant","S6","CU39",0.443577923528062,0.568689645548797,1,"Constant-P1"
"FL07","T1",1.5,"Constant","S1","CU34",0.646442562374914,0.425291159457181,1.04652728575768,"Constant-P1"
"FL07","T1",1.5,"Constant","S2","CU35",0.567564001878267,0.489279311964024,0.8805675279525,"Constant-P1"
"FL07","T1",1.5,"Constant","S3","CU36",0.669522660276278,0.488702671734509,0.876834991679409,"Constant-P1"
"FL07","T1",1.5,"Constant","S4","CU37",0.420356702462027,0.318452047319717,0.678929024732757,"Constant-P1"
"FL07","T1",1.5,"Constant","S5","CU38",0.457149287617016,0.525458951283926,0.705686737896547,"Constant-P1"
"FL07","T1",1.5,"Constant","S6","CU39",0.261439374997895,0.335178685894737,0.589387706490212,"Constant-P1"
"FL07","T10",37.5,"Constant","S1","CU34",0.648229883729821,0.426467028769619,1.04942078422946,"Constant-P2"
"FL07","T10",37.5,"Constant","S2","CU35",0.652111313709299,0.562164925611464,1.01174148741381,"Constant-P2"
"FL07","T10",37.5,"Constant","S3","CU36",0.844062810699256,0.616104241386318,1.10542010227253,"Constant-P2"
"FL07","T10",37.5,"Constant","S4","CU37",0.554898276307402,0.420377482051062,0.896230614030247,"Constant-P2"
"FL07","T10",37.5,"Constant","S5","CU38",0.61513624826866,0.707053158929494,0.949566157404363,"Constant-P2"
"FL07","T10",37.5,"Constant","S6","CU39",0.414452555952121,0.531349430707848,0.934339907305829,"Constant-P2"
"FL07","T11",49.5,"Constant","S1","CU34",0.675787094527507,0.444596772715464,1.09403321338821,"Constant-P3"
"FL07","T11",49.5,"Constant","S2","CU35",0.718181029052319,0.619121576769241,1.11424771705416,"Constant-P3"
"FL07","T11",49.5,"Constant","S3","CU36",0.895482509891691,0.653636868534081,1.17276149964204,"Constant-P3"
"FL07","T11",49.5,"Constant","S4","CU37",0.563855661182112,0.427163379683418,0.910697918920413,"Constant-P3"
"FL07","T11",49.5,"Constant","S5","CU38",0.604875570904406,0.695259276901615,0.93372707784343,"Constant-P3"
"FL07","T11",49.5,"Constant","S6","CU39",0.433829295897854,0.556191404997248,0.978022739381007,"Constant-P3"
"FL07","T12",52.5,"Constant","S1","CU34",0.618947109245988,0.407202045556571,1.00201483622468,"Constant-P3"
"FL07","T12",52.5,"Constant","S2","CU35",0.648173470844232,0.558770233486407,1.00563197985928,"Constant-P3"
"FL07","T12",52.5,"Constant","S3","CU36",0.891035346836669,0.650390764114357,1.16693730815204,"Constant-P3"
"FL07","T12",52.5,"Constant","S4","CU37",0.600344934663794,0.454806768684693,0.969632691966797,"Constant-P3"
"FL07","T12",52.5,"Constant","S5","CU38",0.577598450387148,0.663906264812814,0.891620259089814,"Constant-P3"
"FL07","T12",52.5,"Constant","S6","CU39",0.433234875011667,0.555429326938034,0.976682679710185,"Constant-P3"
"FL07","T13",55.5,"Constant","S1","CU34",0.552318044706208,0.363367134675137,0.894148897123743,"Constant-P3"
"FL07","T13",55.5,"Constant","S2","CU35",0.691416020033008,0.596048293131903,1.07272218381075,"Constant-P3"
"FL07","T13",55.5,"Constant","S3","CU36",0.792394908895595,0.57839044444934,1.0377536483404,"Constant-P3"
"FL07","T13",55.5,"Constant","S4","CU37",0.617483403635618,0.467790457299711,0.997313478204537,"Constant-P3"
"FL07","T13",55.5,"Constant","S5","CU38",0.633291463624234,0.727921222556591,0.977591782833791,"Constant-P3"
"FL07","T13",55.5,"Constant","S6","CU39",0.438587310559408,0.562291423794113,0.988749185421672,"Constant-P3"
"FL07","T14",58.5,"Constant","S1","CU34",0.566953677237116,0.372995840287576,0.917842554811826,"Constant-P3"
"FL07","T14",58.5,"Constant","S2","CU35",0.645650024165787,0.556594848418781,1.00171688799967,"Constant-P3"
"FL07","T14",58.5,"Constant","S3","CU36",0.821737171556749,0.599808154420984,1.07618150771372,"Constant-P3"
"FL07","T14",58.5,"Constant","S4","CU37",0.565622009699416,0.428501522499558,0.913550794274053,"Constant-P3"
"FL07","T14",58.5,"Constant","S5","CU38",0.604417890978379,0.694733208021125,0.933020571975987,"Constant-P3"
"FL07","T14",58.5,"Constant","S6","CU39",0.434194108763573,0.556659113799453,0.97884517180239,"Constant-P3"
"FL07","T15",61.5,"Constant","S1","CU34",0.614896980466712,0.404537487149152,0.99545807383767,"Constant-P3"
"FL07","T15",61.5,"Constant","S2","CU35",0.660210713032651,0.569147166407457,1.02430759100118,"Constant-P3"
"FL07","T15",61.5,"Constant","S3","CU36",0.818276317382552,0.597281983490914,1.07164902775287,"Constant-P3"
"FL07","T15",61.5,"Constant","S4","CU37",0.556995374020276,0.421966192439602,0.899617690997574,"Constant-P3"
"FL07","T15",61.5,"Constant","S5","CU38",0.5925387153285,0.681078983136207,0.914683068363194,"Constant-P3"
"FL07","T15",61.5,"Constant","S6","CU39",0.40552684474278,0.519906211208692,0.91421782562433,"Constant-P3"
"FL07","T2",4.5,"Constant","S1","CU34",0.609142263924551,0.400751489424047,0.98614175057293,"Constant-P1"
"FL07","T2",4.5,"Constant","S2","CU35",0.55594624900787,0.479264007765406,0.862542748559175,"Constant-P1"
"FL07","T2",4.5,"Constant","S3","CU36",0.655891076120389,0.478752610306853,0.858982496627226,"Constant-P1"
"FL07","T2",4.5,"Constant","S4","CU37",0.44379992361619,0.336212063345599,0.716792779923454,"Constant-P1"
"FL07","T2",4.5,"Constant","S5","CU38",0.475697242388694,0.546778439527234,0.734318622604731,"Constant-P1"
"FL07","T2",4.5,"Constant","S6","CU39",0.313474057542697,0.401889817362432,0.70669445190021,"Constant-P1"
